template_id,signal_ts,side,entry_price,stop_price,take_profit_price,dbg_breakout_level,dbg_mother_high,dbg_mother_low,dbg_mother_range,dbg_trigger_ts,dbg_inside_ts,dbg_mother_ts,dbg_valid_from_ts_utc,dbg_valid_to_ts_utc,exit_ts,exit_reason
ib_tpl_9108,2025-07-29 18:30:00+00:00,BUY,104.9123,104.6,105.53690000000002,104.9123,104.9123,104.6,0.3123000000000075,2025-07-29 18:30:00+00:00,2025-07-29 18:25:00+00:00,2025-07-29 18:20:00+00:00,2025-07-29 18:35:00+00:00,2025-07-29 19:00:00+00:00,2025-07-29 19:00:00+00:00,session_end
ib_tpl_9182,2025-07-30 18:10:00+00:00,BUY,106.83,106.43,107.63,106.83,106.83,106.23,0.5999999999999943,2025-07-30 18:10:00+00:00,2025-07-30 18:05:00+00:00,2025-07-30 18:00:00+00:00,2025-07-30 18:15:00+00:00,2025-07-30 19:00:00+00:00,2025-07-30 19:00:00+00:00,session_end
ib_tpl_9207,2025-07-31 13:45:00+00:00,BUY,104.55,104.15,105.35,104.55,104.55,101.07,3.480000000000004,2025-07-31 13:45:00+00:00,2025-07-31 13:35:00+00:00,2025-07-31 13:30:00+00:00,2025-07-31 13:50:00+00:00,2025-07-31 15:00:00+00:00,2025-07-31 15:00:00+00:00,session_end
ib_tpl_9292,2025-08-01 14:20:00+00:00,BUY,97.8,97.4,98.6,97.8,97.8,93.92,3.879999999999996,2025-08-01 14:20:00+00:00,2025-08-01 13:35:00+00:00,2025-08-01 13:30:00+00:00,2025-08-01 14:25:00+00:00,2025-08-01 15:00:00+00:00,2025-08-01 15:00:00+00:00,session_end
ib_tpl_9345,2025-08-01 18:45:00+00:00,SELL,100.5,100.9,99.7,100.5,101.11,100.5,0.6099999999999994,2025-08-01 18:45:00+00:00,2025-08-01 18:35:00+00:00,2025-08-01 18:30:00+00:00,2025-08-01 18:50:00+00:00,2025-08-01 19:00:00+00:00,2025-08-01 19:00:00+00:00,session_end
ib_tpl_9367,2025-08-04 14:05:00+00:00,BUY,101.27,100.87,102.07,101.27,101.27,97.1532,4.116799999999998,2025-08-04 14:05:00+00:00,2025-08-04 13:35:00+00:00,2025-08-04 13:30:00+00:00,2025-08-04 14:10:00+00:00,2025-08-04 15:00:00+00:00,2025-08-04 15:00:00+00:00,session_end
ib_tpl_9445,2025-08-05 14:05:00+00:00,BUY,106.3565,105.9565,107.1565,106.3565,106.3565,104.7,1.656499999999994,2025-08-05 14:05:00+00:00,2025-08-05 13:35:00+00:00,2025-08-05 13:30:00+00:00,2025-08-05 14:10:00+00:00,2025-08-05 15:00:00+00:00,2025-08-05 15:00:00+00:00,session_end
ib_tpl_9497,2025-08-05 18:25:00+00:00,SELL,104.61,105.01,103.81,104.61,105.12,104.61,0.5100000000000051,2025-08-05 18:25:00+00:00,2025-08-05 18:10:00+00:00,2025-08-05 18:05:00+00:00,2025-08-05 18:30:00+00:00,2025-08-05 19:00:00+00:00,2025-08-05 19:00:00+00:00,session_end
ib_tpl_9521,2025-08-06 13:55:00+00:00,BUY,104.5,104.1,105.3,104.5,104.5,102.8712,1.6287999999999982,2025-08-06 13:55:00+00:00,2025-08-06 13:40:00+00:00,2025-08-06 13:35:00+00:00,2025-08-06 14:00:00+00:00,2025-08-06 15:00:00+00:00,2025-08-06 15:00:00+00:00,session_end
ib_tpl_9573,2025-08-06 18:15:00+00:00,SELL,104.29,104.69,103.49,104.29,104.73,104.29,0.4399999999999977,2025-08-06 18:15:00+00:00,2025-08-06 18:10:00+00:00,2025-08-06 18:05:00+00:00,2025-08-06 18:20:00+00:00,2025-08-06 19:00:00+00:00,2025-08-06 19:00:00+00:00,session_end
