ib_idx,trigger_idx,side,mother_high,mother_low,ib_ts,trigger_ts,ib_ny,trigger_ny
6,12,SELL,130.47,129.0408,2025-10-17 14:00:00+00:00,2025-10-17 14:30:00+00:00,2025-10-17 10:00:00-04:00,2025-10-17 10:30:00-04:00
15,17,SELL,129.43,128.28,2025-10-17 14:45:00+00:00,2025-10-17 14:55:00+00:00,2025-10-17 10:45:00-04:00,2025-10-17 10:55:00-04:00
18,21,SELL,128.47,127.3601,2025-10-17 15:00:00+00:00,2025-10-17 15:15:00+00:00,2025-10-17 11:00:00-04:00,2025-10-17 11:15:00-04:00
23,26,BUY,126.81,126.0,2025-10-17 15:25:00+00:00,2025-10-17 15:40:00+00:00,2025-10-17 11:25:00-04:00,2025-10-17 11:40:00-04:00
28,29,BUY,127.56,126.86,2025-10-17 15:50:00+00:00,2025-10-17 15:55:00+00:00,2025-10-17 11:50:00-04:00,2025-10-17 11:55:00-04:00
32,34,BUY,128.93,128.3123,2025-10-17 16:10:00+00:00,2025-10-17 16:20:00+00:00,2025-10-17 12:10:00-04:00,2025-10-17 12:20:00-04:00
42,46,BUY,129.02,128.32,2025-10-17 17:00:00+00:00,2025-10-17 17:20:00+00:00,2025-10-17 13:00:00-04:00,2025-10-17 13:20:00-04:00
45,46,BUY,128.9,128.28,2025-10-17 17:15:00+00:00,2025-10-17 17:20:00+00:00,2025-10-17 13:15:00-04:00,2025-10-17 13:20:00-04:00
47,48,BUY,129.2495,128.428,2025-10-17 17:25:00+00:00,2025-10-17 17:30:00+00:00,2025-10-17 13:25:00-04:00,2025-10-17 13:30:00-04:00
59,60,BUY,130.6199,130.25,2025-10-17 18:25:00+00:00,2025-10-17 18:30:00+00:00,2025-10-17 14:25:00-04:00,2025-10-17 14:30:00-04:00
69,72,SELL,131.1699,130.5715,2025-10-17 19:15:00+00:00,2025-10-17 19:30:00+00:00,2025-10-17 15:15:00-04:00,2025-10-17 15:30:00-04:00
76,77,SELL,130.73,130.28,2025-10-17 19:50:00+00:00,2025-10-17 19:55:00+00:00,2025-10-17 15:50:00-04:00,2025-10-17 15:55:00-04:00
