symbol,breakout_session,first_trigger_passed,final_trigger_passed,trigger_reason,cold_phase_pre_min_close,cold_phase_pre_max_close,cold_phase_pre_mean_vol,cold_phase_pre_median_vol,is_anchor_reference_symbol,breakout_date,previous_date,confirm_date,pre_window,confirm_offset,trim_top_n,trim_bottom_n,price_lr_raw,price_lr_trimmed,vol_lr_raw,vol_lr_trimmed,breakout_green,breakout_close_position_in_range,confirm_close_vs_breakout_close,confirm_close_position_in_range,confirm_vol_vs_breakout_vol,pre_max_drawdown,pre_gap_down_count,price_ratio_prev_to_breakout,volume_ratio_prev_to_breakout,price_ratio_prev_to_confirm,volume_ratio_prev_to_confirm,criteria_pre_window,criteria_confirm_offset,criteria_cold_phase_price_min,criteria_cold_phase_price_max,criteria_cold_phase_mean_volume_min,criteria_cold_phase_mean_volume_max,criteria_cold_phase_median_volume_min,criteria_cold_phase_median_volume_max,criteria_min_price_lr_trimmed,criteria_min_vol_lr_trimmed,criteria_min_price_ratio_prev_to_breakout,criteria_min_volume_ratio_prev_to_breakout,criteria_min_price_ratio_prev_to_confirm,criteria_min_volume_ratio_prev_to_confirm,criteria_require_breakout_green,criteria_min_confirm_close_vs_breakout_close,criteria_min_confirm_close_position_in_range,criteria_min_pre_max_drawdown,criteria_max_pre_gap_down_count
AXTI,2024-02-22,True,True,IMPULSE_CONFIRMED,2.2,2.84,133432.3,106968.5,True,2024-02-22,2024-02-21,2024-02-25,30,1,1,1,-0.0147074527252505,-0.0138998357963875,1698.9813125695216,-1503.7419266557197,True,0.4176470588235295,1.173575129533679,0.9134615384615384,0.0615024300872064,-0.2253521126760562,0,1.692982456140351,189.80321928105056,1.9868421052631584,11.673359224159531,30,1,2.0,9.0,100000.0,1500000.0,80000.0,1200000.0,-0.1,-100000.0,1.172897,19.617994,1.158879,3.01405,False,0.9,0.5,-0.6,8
KODK,2024-02-28,True,True,IMPULSE_CONFIRMED,3.37,3.68,522980.8,505821.5,False,2024-02-28,2024-02-27,2024-02-29,30,1,1,1,-0.0010945494994437,-0.0006102900930488,-870.5695216907675,-1175.181718664477,True,0.923469387755102,1.0636704119850189,0.906542056074766,0.5488042686308197,-0.0842391304347826,0,1.5257142857142856,42.53123521308924,1.6228571428571428,23.341323435084803,30,1,2.0,9.0,100000.0,1500000.0,80000.0,1200000.0,-0.1,-100000.0,1.172897,19.617994,1.158879,3.01405,False,0.9,0.5,-0.6,8
MNMD,2024-03-06,True,True,IMPULSE_CONFIRMED,3.55,6.24,802928.4,688822.5,False,2024-03-06,2024-03-05,2024-03-07,30,1,1,1,0.0849877641824249,0.083527640941434,32175.60889877642,27763.14668856048,True,0.4324324324324324,1.0777777777777775,0.6923076923076917,0.2131914929370813,-0.0887573964497041,1,1.5151515151515151,67.44490349589421,1.6329966329966328,14.378679667287065,30,1,2.0,9.0,100000.0,1500000.0,80000.0,1200000.0,-0.1,-100000.0,1.172897,19.617994,1.158879,3.01405,False,0.9,0.5,-0.6,8
FF,2024-03-13,True,True,IMPULSE_CONFIRMED,5.37,6.11,303039.36666666664,248786.0,False,2024-03-13,2024-03-12,2024-03-14,30,1,1,1,0.0021535038932148,0.0007662835249047,-7325.346162402669,-2987.140667761357,True,0.694300518134715,1.0261627906976745,0.5348837209302318,0.4710308469044365,-0.0785597381342062,0,1.2091388400702987,31.0522852088504,1.2407732864674867,14.626584200242911,30,1,2.0,9.0,100000.0,1500000.0,80000.0,1200000.0,-0.1,-100000.0,1.172897,19.617994,1.158879,3.01405,False,0.9,0.5,-0.6,8
AMTX,2024-03-20,True,False,CONFIRMATION_RANGE_POSITION_REJECTED,2.89,3.86,470987.5,419845.5,False,2024-03-20,2024-03-19,2024-03-21,30,1,1,1,-0.0161579532814238,-0.0141324575807334,8019.122803114572,10982.653530377667,True,0.8869565217391298,1.0921568627450982,0.2736318407960201,0.6052819785399167,-0.2512953367875646,1,1.3972602739726028,28.565873660279312,1.526027397260274,17.290408527815153,30,1,2.0,9.0,100000.0,1500000.0,80000.0,1200000.0,-0.1,-100000.0,1.172897,19.617994,1.158879,3.01405,False,0.9,0.5,-0.6,8
PAYS,2024-03-26,True,False,CONFIRMATION_RANGE_POSITION_REJECTED,2.78,3.38,135838.76666666666,120730.0,False,2024-03-26,2024-03-25,2024-03-27,30,1,1,1,0.0062180200222469,0.0051696770662289,1948.5839822024475,1069.7224958949098,True,0.3026315789473683,0.915,0.3230769230769232,0.1120991285526281,-0.1626506024096385,1,1.183431952662722,43.09007952111843,1.0828402366863903,4.830360363580823,30,1,2.0,9.0,100000.0,1500000.0,80000.0,1200000.0,-0.1,-100000.0,1.172897,19.617994,1.158879,3.01405,False,0.9,0.5,-0.6,8
TPST,2024-03-31,True,False,CONFIRMATION_RANGE_POSITION_REJECTED,3.16,4.11,556052.0666666667,477568.5,False,2024-03-31,2024-03-27,2024-04-01,30,1,1,1,-0.0072680756395995,-0.0052599890530925,5876.9170189099,6836.226600985222,True,0.7711442786069652,0.9356617647058822,0.3053435114503813,0.2803340016731001,-0.2311435523114355,1,1.391304347826087,24.90306117933726,1.3017902813299231,6.981174794313646,30,1,2.0,9.0,100000.0,1500000.0,80000.0,1200000.0,-0.1,-100000.0,1.172897,19.617994,1.158879,3.01405,False,0.9,0.5,-0.6,8
GSIT,2024-04-01,True,True,IMPULSE_CONFIRMED,2.42,4.59,547034.3333333334,264171.5,False,2024-04-01,2024-03-31,2024-04-02,30,1,1,1,0.0309855394883203,0.0282293377120963,-19924.42491657397,-17101.033935413245,True,0.6902173913043477,1.0952380952380951,0.6952380952380949,0.2606329796598139,-0.2592592592592593,4,1.350877192982456,46.40249476475432,1.47953216374269,12.094020474186834,30,1,2.0,9.0,100000.0,1500000.0,80000.0,1200000.0,-0.1,-100000.0,1.172897,19.617994,1.158879,3.01405,False,0.9,0.5,-0.6,8
VNDA,2024-04-02,True,False,CONFIRMATION_RANGE_POSITION_REJECTED,3.75,4.61,850584.1333333333,799655.0,False,2024-04-02,2024-04-01,2024-04-03,30,1,1,1,-0.0232235817575083,-0.0233524904214559,-4617.174638487208,-6217.724958949097,True,0.4096385542168673,0.9742574257425742,0.1333333333333333,0.1231774884957444,-0.1865509761388286,0,1.2915601023017902,61.1099236735045,1.258312020460358,7.527366920268925,30,1,2.0,9.0,100000.0,1500000.0,80000.0,1200000.0,-0.1,-100000.0,1.172897,19.617994,1.158879,3.01405,False,0.9,0.5,-0.6,8
OPRT,2024-04-22,True,False,CONFIRMATION_RANGE_POSITION_REJECTED,2.13,4.02,244239.86666666667,188572.5,False,2024-04-22,2024-04-21,2024-04-23,30,1,1,1,-0.0461557285873192,-0.0422058018609742,-9176.865850945494,-3620.390804597701,True,0.6105263157894739,1.0284810126582278,0.4516129032258067,0.0727739795809372,-0.4701492537313433,3,1.4044444444444446,101.46753314587669,1.4444444444444444,7.384196185286103,30,1,2.0,9.0,100000.0,1500000.0,80000.0,1200000.0,-0.1,-100000.0,1.172897,19.617994,1.158879,3.01405,False,0.9,0.5,-0.6,8
IFBD,2024-04-25,True,False,CONFIRMATION_RANGE_POSITION_REJECTED,3.69,5.96,856412.0666666667,133593.0,False,2024-04-25,2024-04-24,2024-04-28,30,1,1,1,-0.0502424916573971,-0.0437903667214011,23712.538375973305,-9350.60153256705,True,0.6111111111111115,1.030612244897959,0.4545454545454547,0.0724277282995774,-0.3808724832214765,5,1.3279132791327914,99.00528122524426,1.3685636856368564,7.170727608805243,30,1,2.0,9.0,100000.0,1500000.0,80000.0,1200000.0,-0.1,-100000.0,1.172897,19.617994,1.158879,3.01405,False,0.9,0.5,-0.6,8
MULN,2024-04-28,True,False,CONFIRMATION_RANGE_POSITION_REJECTED,2.62,5.72,1180404.7666666666,691617.5,False,2024-04-28,2024-04-25,2024-04-29,30,1,1,1,-0.0833526140155729,-0.0792200328407225,64125.74527252503,-3833.114668856048,True,0.8455284552845529,1.0996503496503498,0.3012048192771084,0.7070013956175897,-0.5419580419580419,6,1.810126582278481,62.11817181878398,1.990506329113924,43.917634169093496,30,1,2.0,9.0,100000.0,1500000.0,80000.0,1200000.0,-0.1,-100000.0,1.172897,19.617994,1.158879,3.01405,False,0.9,0.5,-0.6,8
AXTI,2024-05-02,True,False,CONFIRMATION_THRESHOLD_FAILED,2.76,5.4,983370.0666666668,610605.5,True,2024-05-02,2024-05-01,2024-05-05,30,1,1,1,-0.0842669632925473,-0.08367816091954,-35159.74860956619,-23745.79365079365,True,0.3804347826086956,1.0737704918032789,0.6756756756756763,0.1104091276526767,-0.4888888888888889,2,1.2000000000000002,26.140938041721043,1.2885245901639346,2.886198165209092,30,1,2.0,9.0,100000.0,1500000.0,80000.0,1200000.0,-0.1,-100000.0,1.172897,19.617994,1.158879,3.01405,False,0.9,0.5,-0.6,8
UPLD,2024-05-02,True,True,IMPULSE_CONFIRMED,2.02,3.09,163023.26666666666,142158.5,False,2024-05-02,2024-05-01,2024-05-05,30,1,1,1,-0.0355127919911012,-0.0358565955117679,-2218.004004449388,-894.0514504652435,True,0.257142857142857,1.2355212355212355,0.666666666666667,0.2598327599278771,-0.3462783171521035,3,1.2821782178217822,53.20709473944483,1.5841584158415842,13.824946273893978,30,1,2.0,9.0,100000.0,1500000.0,80000.0,1200000.0,-0.1,-100000.0,1.172897,19.617994,1.158879,3.01405,False,0.9,0.5,-0.6,8
